Primera Fase;-;Bolivia 1
Guabirá;; vs ;;Nacional Potosí - ida; - ;fecha:17/03/2021; hora:19:15:00
Nacional Potosí;; vs ;;Guabirá - vuelta; - ;fecha:07/04/2021; hora:19:15:00
Primera Fase;-;Bolivia 2
Wilstermann;; vs ;;Palmaflor - ida; - ;fecha:17/03/2021; hora:21:30:00
Palmaflor;; vs ;;Wilstermann - vuelta; - ;fecha:07/04/2021; hora:21:30:00
Primera Fase;-;Chile 1
D. Antofagasta;; vs ;;Huachipato - ida; - ;fecha:16/03/2021; hora:21:30:00
Huachipato;; vs ;;D. Antofagasta - vuelta; - ;fecha:06/04/2021; hora:20:30:00
Primera Fase;-;Chile 2
Cobresal;; vs ;;Palestino - ida; - ;fecha:18/03/2021; hora:21:30:00
Palestino;; vs ;;Cobresal - vuelta; - ;fecha:08/04/2021; hora:21:30:00
Primera Fase;-;Colombia 1
Tolima;; vs ;;Deportivo Cali - ida; - ;fecha:16/03/2021; hora:21:30:00
Deportivo Cali;; vs ;;Tolima - vuelta; - ;fecha:06/04/2021; hora:21:30:00
Primera Fase;-;Colombia 2
La Equidad;; vs ;;Pasto - ida; - ;fecha:18/03/2021; hora:21:30:00
Pasto;; vs ;;La Equidad - vuelta; - ;fecha:08/04/2021; hora:21:30:00
Primera Fase;-;Ecuador 1
Macará;; vs ;;Emelec - ida; - ;fecha:16/03/2021; hora:19:15:00
Emelec;; vs ;;Macará - vuelta; - ;fecha:06/04/2021; hora:19:15:00
Primera Fase;-;Ecuador 2
Aucas;; vs ;;Guayaquil City - ida; - ;fecha:18/03/2021; hora:19:15:00
Guayaquil City;; vs ;;Aucas - vuelta; - ;fecha:08/04/2021; hora:19:15:00
Primera Fase;-;Paraguay 1
12 de Octubre (I);; vs ;;Nacional (P) - ida; - ;fecha:16/03/2021; hora:19:15:00
Nacional (P);; vs ;;12 de Octubre (I) - vuelta; - ;fecha:06/04/2021; hora:19:15:00
Primera Fase;-;Paraguay 2
Guaireña;; vs ;;River Plate - ida; - ;fecha:18/03/2021; hora:19:15:00
River Plate;; vs ;;Guaireña - vuelta; - ;fecha:08/04/2021; hora:19:15:00
Primera Fase;-;Perú 1
UTC;; vs ;;Sport Huancayo - ida; - ;fecha:17/03/2021; hora:21:30:00
Sport Huancayo;; vs ;;UTC - vuelta; - ;fecha:07/04/2021; hora:21:30:00
Primera Fase;-;Perú 2
Carlos A. Mannucci;; vs ;;Melgar - ida; - ;fecha:18/03/2021; hora:21:30:00
Melgar;; vs ;;Carlos A. Mannucci - vuelta; - ;fecha:08/04/2021; hora:21:30:00
Primera Fase;-;Uruguay 1
Uruguay 2;; vs ;;Uruguay 4 - ida; - ;fecha:07/04/2021; hora:
Uruguay 4;; vs ;;Uruguay 2 - vuelta; - ;fecha:14/04/2021; hora:
Primera Fase;-;Uruguay 2
Uruguay 3;; vs ;;Uruguay 1 - ida; - ;fecha:06/04/2021; hora:
Uruguay 1;; vs ;;Uruguay 3 - vuelta; - ;fecha:13/04/2021; hora:
Primera Fase;-;Venezuela 1
Metropolitanos;; vs ;;Academia - ida; - ;fecha:18/03/2021; hora:19:15:00
Academia;; vs ;;Metropolitanos - vuelta; - ;fecha:08/04/2021; hora:19:15:00
Primera Fase;-;Venezuela 2
Aragua;; vs ;;Mineros - ida; - ;fecha:17/03/2021; hora:21:30:00
Mineros;; vs ;;Aragua - vuelta; - ;fecha:07/04/2021; hora:19:15:00
Fase de Grupos;-;Grupo A - Fecha 1
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:
Fase de Grupos;-;Grupo B - Fecha 1
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:
Fase de Grupos;-;Grupo C - Fecha 1
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:
Fase de Grupos;-;Grupo D - Fecha 1
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:
Fase de Grupos;-;Grupo E - Fecha 1
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:
Fase de Grupos;-;Grupo F - Fecha 1
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:
Fase de Grupos;-;Grupo G - Fecha 1
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:
Fase de Grupos;-;Grupo H - Fecha 1
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:
A Confirmar;; vs ;;A Confirmar - ; - ;fecha:21/04/2021; hora:

 Goleadores 
